Station,Latitude,Longitude,Elevation
A19K,70.2043,-161.0713,24.0
A21K,71.3221,-156.6175,5.0
A22K,71.0033,-154.9742,6.0
ANM,64.5646,-165.3732,338.0
ATKA,52.201599,-174.197495,55.0
B18K,69.3641,-161.8016,222.0
B20K,70.0079,-157.1599,74.6
B22K,70.34,-153.4196,49.7
BAE,61.1319,-148.1234,578.0
BAGL,60.489601,-142.091507,1470.0
BAL,61.035999,-142.346207,1318.0
BARK,60.403,-142.493103,1389.6
BARN,61.059502,-141.662201,1689.0
BAT,61.1416,-148.1751,1027.0
BAW,61.1501,-148.1501,542.0
BCP,59.9534,-139.6369,421.8
BERG,60.3932,-143.700394,624.0
BESE,58.5792,-134.8559,867.0
BGLC,60.1205,-143.2841,10.0
BMR,60.9677,-144.6051,842.0
BPAW,64.099701,-150.987305,619.0
BRLK,59.7511,-150.9063,409.0
BRSE,59.741699,-150.741394,541.0
BWN,64.173203,-149.299103,356.0
C16K,68.2746,-165.3436,102.0
C18K,68.6483,-161.1943,845.0
C19K,69.1049,-159.5874,745.0
C21K,69.1565,-154.7833,409.0
C23K,69.836,-150.6126,179.0
C26K,69.9175,-144.9122,139.0
C27K,69.626,-143.7114,392.0
CAPN,60.768299,-151.1539,47.0
CAST,63.4188,-152.084396,611.0
CCB,64.6453,-147.8053,233.0
CDVT,60.493599,-145.469604,152.0
CHI,55.8218,-155.6225,203.0
CHN,54.831001,-159.589493,71.0
CHUM,63.8827,-152.3152,217.0
CHX,60.063099,-141.117798,1085.0
CNP,59.5251,-151.2373,564.0
COLD,67.2278,-150.207,374.0
CRQ,60.7523,-143.092606,1392.3
CTG,60.9649,-141.3401,1507.9
CUT,62.4058,-150.2625,574.0
CYK,60.082298,-142.487198,23.0
D17K,67.6988,-163.0831,172.0
D20K,68.7132,-156.6132,577.0
D22K,68.8799,-152.6821,532.0
D24K,69.1532,-148.8233,292.0
D25K,69.322,-146.3751,770.0
DAM1,59.7554,-150.8513,354.0
DAM2,59.755299,-150.855499,363.0
DCPH,59.090599,-138.215393,674.0
DHY,63.075298,-147.3759,1611.0
DIV,61.1292,-145.7749,941.4
DOT,63.648201,-144.069702,670.0
E18K,67.4213,-160.6027,297.0
E19K,67.4572,-157.2316,441.0
E21K,68.4414,-153.9721,653.0
E22K,68.1343,-151.8132,772.0
E24K,68.0748,-148.4868,847.0
E25K,68.1207,-145.568,652.0
E27K,68.1861,-141.5951,654.0
ER01,61.3237,-149.5412,198.0
ER02,61.3166,-149.5721,104.0
ER03,61.3145,-149.5466,151.0
ER04,61.3453,-149.5476,119.0
EYAK,60.548698,-145.75,133.9
F15K,65.7077,-164.6483,388.0
F18K,66.6001,-159.6514,27.0
F20K,67.0486,-155.7251,136.0
F21K,67.2221,-153.483,597.0
FA01,64.834801,-147.937103,263.0
FA02,64.845596,-148.009003,194.0
FA05,64.839302,-147.751602,135.0
FA06,64.8461,-147.695694,136.0
FA07,64.826698,-147.694595,135.0
FA09,64.8377,-147.8172,135.0
FA10,64.818604,-147.778397,133.0
FA11,64.8536,-147.8382,137.0
FA12,64.826897,-147.868393,436.0
FALS,54.8564,-163.417603,60.6
FID,60.727699,-146.598694,500.0
FIRE,61.142601,-150.2164,62.0
FYU,66.565697,-145.234207,137.0
G17K,65.5011,-160.6514,338.0
G19K,66.1434,-157.087,391.0
G23K,66.7108,-150.0239,746.0
G24K,66.7004,-147.4754,503.0
G27K,66.8088,-141.6549,686.0
GAMB,63.775799,-171.703598,5.0
GCSA,64.746101,-156.879196,45.0
GHO,61.771,-148.926,1032.0
GIB,64.859802,-147.849106,180.0
GLB,61.4417,-143.8123,854.9
GLI,60.8792,-147.095901,430.0
GOAT,60.580502,-144.729202,895.5
GREN,63.9738,-145.6949,414.0
GRES,63.9451,-145.7281,445.0
GRIN,60.2805,-143.321,625.0
GRNC,60.731499,-141.755798,2116.0
